Word,Count
cocoa,338
sweet,274
nutty,253
fruit,228
roasty,207
mild,203
creamy,184
sour,177
earthy,173
intense,167
sandy,156
fatty,153
floral,146
rich,139
spicy,133
off,103
bitter,99
vanilla,94
molasses,91
coffee,88
woody,85
sticky,77
spice,75
berry,75
tart,66
gritty,65
dried,64
dry,63
caramel,62
smoke,61
burnt,60
grassy,57
banana,54
brownie,51
fruity,51
red,50
smokey,49
oily,48
notes,48
complex,47
dairy,46
strong,41
black,41
metallic,40
astringent,38
cherry,38
acidic,37
pepper,37
vegetal,35
pungent,35
tobacco,35
hammy,34
roast,34
nuts,33
rubber,32
citrus,31
nut,30
high,29
honey,29
strawberry,29
licorice,28
basic,28
grits,27
melon,26
coarse,26
orange,25
green,24
very,24
dark,24
and,24
marshmallow,24
note,24
smooth,23
rubbery,23
choco,22
dirty,22
grapes,21
chemical,21
peanut,20
tangy,20
roasted,20
muted,20
bold,20
bland,20
chalky,19
lemon,19
butter,18
mint,18
flavor,18
long,17
heavy,17
medicinal,17
light,17
bright,17
balanced,17
coconut,16
simple,16
powdery,16
savory,15
fig,15
rum,15
harsh,15
slight,15
milk,15
flat,14
perfume,14
grape,14
raspberry,14
candy,14
waxy,14
butterscotch,14
rustic,14
cardboard,13
unrefined,13
ham,13
ashey,13
deep,13
tea,13
color,13
base,13
raisins,12
leather,12
few,12
chewy,12
delicate,12
late,12
raisin,11
bourbon,11
leathery,11
subtle,11
edge,11
spicey,10
blackberry,10
chocolate,10
cinamon,10
musty,10
nibs,9
mocha,9
large,9
hot,9
acidity,9
sl.,9
woodsy,9
buttery,9
cream,9
mellow,8
blueberry,8
poor,8
grainy,8
gummy,8
palm,8
chunky,8
tannic,8
of,8
hazelnut,8
toffee,8
short,8
gateway,8
dirt,8
slow,7
salt,7
fuel,7
aftertaste,7
anise,7
nutmeg,7
sugar,7
tropical,7
candy-like,7
olive,7
too,7
wine,7
texture,6
bread,6
to,6
cheese,6
hay,6
mushroom,6
malt,6
candied,6
dominates,6
slightly,6
herbal,5
fudgey,5
chocolatey,5
full,5
raw,5
overly,5
lasting,5
robust,5
pastey,5
aroma,5
like,5
tang,5
spices,5
salty,5
some,5
grass,5
minty,5
bready,5
vinegar,4
wood,4
melt,4
true,4
herbs,4
hint,4
then,4
maple,4
metal,4
soil,4
soapy,4
plum,4
&,4
yogurt,4
distinct,4
cheesy,4
cherries,4
Burnt,4
ending,4
burning,4
apple,4
fragrant,4
cashew,3
nibby,3
surface,3
dimensional,3
swiss,3
miss,3
muddy,3
dominant,3
develop,3
mildly,3
earth,3
almond,3
sunflower,3
over,3
subdued,3
odd,3
one,3
berries,3
covered,3
pear,3
spciy,3
cloying,3
powerful,3
pure,3
burn,3
cinnamon,3
sensation,3
cardamom,3
uneven,3
grit,3
well,3
fat,3
fresh,3
accessible,3
fudge-like,3
with,3
from,3
lime,2
astringency,2
sublte,2
descript,2
atypical,2
flour,2
non,2
diluted,2
pronounced,2
artificial,2
grapefruit,2
pudding,2
mostly,2
moldy,2
mold,2
molassses,2
dense,2
dates,2
length,2
baked,2
cucumber,2
strawberries,2
crumbly,2
bodied,2
oranges,2
spoiled,2
pistachio,2
hints,2
overyly,2
papaya,2
bitterness,2
peach,2
cooling,2
tangerine,2
moss,2
silky,2
empty,2
but,2
medium,2
toast,2
mass,2
unbalanced,2
thick,2
market,2
cacao,2
ripe,2
refined,2
tea-like,2
mix,2
flavors,2
dominate,2
grain,2
unique,2
body,1
shine,1
shell,1
soy,1
butt,1
soft,1
cardamon,1
blackpepper,1
Cadbury,1
by,1
soap,1
blueberries,1
sharp,1
winey,1
smoth,1
sligt,1
why,1
sliglty,1
sligthly,1
sandpaper,1
brownine,1
brief,1
yellow,1
burlap,1
smoked,1
brandy,1
smomkey,1
single,1
Fruity,1
wild,1
bother,1
wtf,1
Easter,1
brown,1
up,1
spectrum,1
ultra,1
ambiguous,1
aluminum,1
vegetable,1
alocohol,1
almost,1
vanilla(n),1
alluring,1
alkalyzed,1
alcohol,1
uncontrolled,1
appealing,1
undefined,1
under,1
undertone,1
acid,1
unground,1
unpleasant,1
unrecognizable,1
add,1
unripened,1
temper,1
veggie,1
blackberries,1
sugary,1
whole,1
bean,1
batter,1
sticy,1
wet,1
bar,1
Roasty,1
astringnet,1
watery,1
super,1
accesible,1
watering,1
watered,1
walnuts,1
walnut,1
w/,1
synthetic,1
XL,1
astringcy,1
assertive,1
carrots,1
prunes,1
charcoal,1
med,1
evolves,1
Andes,1
ends,1
lingering,1
low,1
macadamia,1
malitol,1
egg,1
mark,1
easy,1
masculine,1
meaty,1
easter,1
less,1
medicine,1
medley,1
earty,1
earthen,1
menthol,1
dutched?,1
dull,1
down,1
mildy,1
domintates,1
dominated,1
moderate,1
fades,1
fast,1
distinquished,1
holiday,1
ground,1
grounds,1
ginger,1
ham-like,1
gentle,1
fungal,1
fudge,1
front,1
hebs,1
herb,1
forward,1
hit,1
homey,1
fertilzer,1
forest,1
ice,1
intens,1
floral-spice,1
intensely,1
intensity,1
issues,1
klingy,1
flavorful,1
finish,1
lavendar,1
leafy,1
modest,1
mouthfeel,1
rounded,1
rasin,1
potting,1
profile,1
prominent,1
prononced,1
prune,1
punch,1
clove,1
rainins,1
clingy,1
classic,1
raisiny,1
raisns,1
raspberries,1
cocounut,1
cigarette,1
cigar,1
refinement,1
refreshing,1
residue,1
chocolaty,1
chlorine,1
roaste,1
roaster,1
roasty/smokey,1
cheesey,1
rough,1
possible,1
pomegrant,1
multiple,1
crunchy,1
dirt/,1
mysterious,1
near,1
nice,1
non-descript,1
developed,1
noticeable,1
nuanced,1
nutella,1
defined,1
oddly,1
current,1
or,1
plums,1
crisp,1
oreo,1
origin,1
cranberries,1
cough,1
pasty,1
peanutbutter,1
cooked,1
perfect,1
cooa,1
pieces,1
controlled,1
ligt,1
